,essay_id,grade,prompt,essay,excerpt,feedback,tid,isRepresentative,comment_id
289,,,,, ,Comma,,,1713124796767
291,,,,,"e could've had a big house where his family lived, but it wouldn't be home. Instead, he had a small house where everybody shared things. ",How does this detail show how much he loves them like you indicate that the quote does?,,,1713798088024
292,,,,,tone,"You want to reply to the mood that is set by the tone.  Remember, these two things are very different. ",,,1715045095069
293,,,,, his life easier. This whole excerpt is thanking them.,Great piece of evidence and supporting information.  ,,,1715045149391
294,,,,,"He could've had a big house where his family lived, but it wouldn't be home. ",Not the strongest support for this detail.,,,1715045239553
295,,,,,This quote shows how much he loves them,"This quote doesn't reflect his feelings about his parents.  Instead, this quote comments on his youthful environment.",,,1715045282834
297,,,,,this memoir,You could say the memoir is self titled or you can just tell us the name!,,,1713027257983
298,,,,,"I will always be grateful to my parents for their love and Sacrifice.""",What paragraph did you find this in?,,,1713027287745
299,,,,,"He seemed to feel the same peaceful, yet loving, and grateful mood flow over you as well. ",This is an interesting perspective!! ,,,1713027333813
300,,,,,amazing piece of work.,"Try to end this with a sentence that brings it back to your original point of the mood being ""loving.""",,,1713027378684
301,,,,,"@CAPS1 often told them of my admiration for their strength and perseverance, and I've thanked them repeatedly. But, in reality, there is no way to express my gratitude for the Spirit of generosity impressed upon me at such an early age and the demonstration of how important family and friends are.""","Think about shortening this quote! It's a good choice, but you should try to explain it more. How does this part show a loving mood?",,,1713027422951
303,,,,,"They admired when their parents helped and teached them how to cook. They would hear the music in the back that they adored as their heritage or backround. In the story it says, ""My parents both shared coo",Think about the mood (how your reader should feel) that is set by these examples.  How would this affect the reader?,,,1715046317495
304,,,,,When the authors still live with their parents their relatives would come over to eat and have fun. To reflect back on those memories made the author happy. In the story it sa,"This is a GREAT quote! Ask yourself, what impact does this quote have on the way readers feel about the text? That's mood! Discuss more of that!",,,1715046366443
305,,,,,They thought of how lucky their parents were to come to such a nice place,"The example you use doesn't reflect luck; instead, it shows selflessness. ",,,1715046434611
307,,,,,grate,grateful?*,,,1713798594935
308,,,,,readers,"you don't need this -- we can assume ""us"" means the readers. ",,,1713798606086
309,,,,, ,End the thought here with a sentence just for better clarity.,,,1713798672023
310,,,,,and explaining ,"adjust this to ""Narciso explained""",,,1713798699543
311,,,,, ,is a word missing?,,,1713798725495
312,,,,,"how his house was he was saying how his landlord and daughter nice and how the landlord's daughter was his first friend, and he was also saying how his family and friends were very close.",Would you have any quote that you could use that can support your thoughts?,,,1713798752264
313,,,,,", ",I might end with a period rather than a quote because it seems like you are transitioning to a new thought. ,,,1713798776503
314,,,,,"daughter was his first friend, and he was also saying how his family and friends were very close.",I like the example you are describing. Find a specific piece of evidence from the story at the point you are describing. ,,,1713800411413
315,,,,, happy and grate,Good job stating two specific emotions of happiness and gratefulness. ,,,1713800489850
316,,,,, great solidarity (happiness) and friendship,Strong example. Can you give an example of when this happened from the text?,,,1713800518410
317,,,,, house cozy and at the end of the memoir ,"How does a ""cozy"" house help create a mood of happiness and gratefulness? What was Narcisco happy and grateful for?",,,1713801509092
318,,,,,never had a home like the one he lived in now.,This is great! Describe the home before and the home after.,,,1713801555346
320,,,,,warm mood,"What does ""warm mood"" mean? Is it cozy, safe, or nurturing? Why does the main character feel this way?",,,1713801664075
321,,,,,"my parents always kept their arms and their door open to the many people we concidered family, knowing that they would do the same for us"". ",Great quote you captured. What does this quote say about the mood created through the community of friends and extended family?,,,1713801707406
322,,,,,"""The very heart of which was the kitchen; passionat Cuban music filled the air. Here, the innocence of childhood, the congregation of family and friends, and endless celebrations"".","Great quote! What does this tell us about culture, music, and food? What mood can a culture's food and music bring to a family?",,,1713801737390
323,13619.0,8.0,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","The @CAPS1 sets a good mood in this memoir about his house.the @CAPS1 states the house is a sign of life and love. The @CAPS1 states, ""always filled the air with not just scent an music but life and love."" The @CAPS1 explains the mood by a Cuban feast. Also when he learns that in the neighborhood there is love to. The @CAPS1 states, ""And for this, I will never forget that house or its gracious neiborhood or the many things I learned there about how to love."" The @CAPS1 shows how many cultures and countrys show satisfaction in the whole neiborhood that is filled with mostly Spanish, Cuban, and Italian immigrants at a time when overt racism was norm and segregation prevailed in the @LOCATION1. The @CAPS1 shows a good positive, and geneorus mood in the book that has all started in the kitchen with a Cuban feast.",good,Can you be more specific about what kind of good mood?,5.0,yes,1713797625167
324,,,,, ,"maybe ""the explanation of the Cuban feast helps to explain the mood""",,,1713797671395
325,,,,, countrys,countries,,,1713797696993
326,,,,,satisfaction ,I'm not sure what you mean by this,,,1713797702243
327,,,,,geneorus,I think this is the best word that you've used so far - maybe focus on this?,,,1713797736489
329,,,,,"""My parents always kept thier arms and thier door open to the many people we call family, knowing that they would do the same for us""",Good textual evidence. ,,,1713736286379
330,,,,,"""My mother and father had to come to this country with such courage, to give thier children a better life, leaving thier friends, families, and career in the country they loved"". ","Again, good textual evidence. However, read the comment I put on your thesis. This could easily be evidence to support the same mood as your first piece of evidence. ",,,1713736298719
331,,,,,"r us"". ",Can you explain a little more after the quote?,,,1713799911661
332,,,,,. A example is ,Can you try incorporating this quote into your own writing a little more?,,,1713799994106
333,,,,,This shows they care about thier kids. ,Can you elaborate on this a little more?,,,1713800120913
334,,,,,. T,how does this create an appreciative mood?,,,1713800133646
336,,,,,". For example my mom runs @NUM1 miles everyday and still has time to go on the computer. If you use the computer @NUM2 its bad, but if you use it in moderation then its a little better. ","You make a good point, but your evidence is not completely backing up your ideas, since the evidence you gave shows that your mom is still able to exercise and go on the computer. Can you think of another example that shows your point more clearly?",,,1713660949210
337,,,,,"My friends and I love to be outside and go to playgrounds and act like little kids, but it makes us laugh and people say that laughing keeps you happy and healthy.",Is it possible to spend time with friends and family while still using the computer or is it not possible to do both?,,,1713661096692
338,,,,,One website could be @CAPS2 because bad peole post videos and the little children could see then and get the wrong idea. ,"I know you probably don't want to go into the details about these inappropriate websites, but this evidence could be a bit more specific.",,,1713661131610
340,,,,,"omputers have caused a massive amount of obesity in the @LOCATION1 and that number is growing everday. Computers can also be time-consuming and people could spend hours and even days on a computer without doing anything else. Lastly, computers can be dangerouis to many kids and could even end up in death",At first I thought you were giving examples here and then I realize this is your claim. Can you make this shorter so readers aren't confused when you jump back to obseity ,,,1714240012055
341,,,,,he danger of computer is so great than they should be @CAPS7 in @CAPS7 computers are too risky for whivh is why they shouldn't be a time consuming. Lastly they can be extremely dangerous to children. Because of these should be banned from @CAPS7 society for the well- using of the @LOCATION1,"I appreciate you doing a conclusion, make sure to tie in your idea about obseity here! ",,,1714240112940
342,,,,, Time is sao precious in our lives and we must not waste it staying o a computer @CAPS7 day.,this sentence feels repetitive!,,,1714240158189
343,,,,, a ,"I think you need to add ""computers."" and then start the ""computers contribute"" 
smooth transition! ",,,1714240191662
344,,,,,ance to burn @CAPS7 those calories and carbohydrates that you just ate by exercising.,"I like this example of food. Although, fast-food and addiction to computers are two different ideas. Develop your argument on how being on a computer too long can contribute to obesity.",,,1713284224898
345,,,,,I feel that xomputers are too harmful for society and should be stopped.,You took a strong stance on this argument. Good job!,,,1713284927328
346,,,,,These people stay on thier computers for hours amd sometimes they dont even realize i,What are people doing that they spend so much time on? This is crazy how time flies on the computer. ,,,1713547854801
347,,,,,", those been who suicide because they were bulled on the @CAPS5.",Bullying and suicide are critical current issues in the world. What should society do to make efforts to end this global issue? ,,,1713547896622
349,,,,,"Many people @MONTH1 argue and say, ""look in the encyclipedea to learn about the world, ""but a computer @CAPS3 faster, easier more time efficient to use",Good job bringing an alternative perspective and showing why your ideas are more valid in a counterargument!,,,1714188345698
350,,,,, and a whole slew of liks and opportunities are found,I'm not sure what you mean by this. Can you clarify how this would help you find the information more efficiently than in a dictionary or encyclopedia?,,,1714188403251
351,,,,,Have you ever had to research for a project or report? Many people either in school or in the work field will most likely need to research something to get a better understanding.,This is pretty similar to the previous point you made. Can you give a more specific example to show the reader how a computer could be useful in this situation?,,,1714188506198
352,,,,,"To me, the problem of someone being on the computer too much sounds more like a Family problem than a social problem","You have already brought up this point before, so maybe you could put this part with the part where you already brought this up and explain what you mean more.",,,1714188624598
353,1475.0,8.0,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","It is my opinion that computers are not completly bad for people, computers can also be good for people. For example computer allow people to communicate in seconds. From around the well, and computers open up new information to anyone. But a major advantage is that people spent so much time on the computer, that they don't get any exercise. Firstly, computers are good thing because they allow news and infirmation to get to the whole world in seconds. Very recently during the war in the @LOCATION1, news reporters were not allowed into towns and cities where a user uses being fought. Every day social messaging sites like @CAPS1 and @CAPS2 brought news to the world through cell phone videos and pictures that wouldn't have been seen by the world had it not been for computers and the internet. Secondly, computers allow people to gain knowledge in a matter of minutes on topic the sun. For example if you need information on the country in the you can finf it with a computer. If you need a recepie for an @CAPS3 desert look it up with a computer. If you would like to know what the weather will be like, you can look it up with a computer. With a computer the knowledge of the world can be found by anyone. Lastly, the leading argument against is the people don't get enough exercise because they are always on the computer. The people computers say that people will because a thier computer that will the lives these arguments can be the overwhelming of heavy computer users do get enough exercise A recent status that among the internet average grade of A or better, who also do at least With this information the argument In conclusion, computers are not completly good or completly bad for society. Their strong points are communication and the ability to gain knowledge quickly. The main downside is that a minority of computer user don't get enough exercise. It is my opinion that computers are good for and the pres definitily outway the care."," But a major advantage is that people spent so much time on the computer, that they don't get any exercise","Watch your wording!! Here, I think you mean disadvantage.",3.0,yes,1715048596089
354,,,,,"It is my opinion that computers are not completly bad for people, computers can also be good for people",Nice introductory sentence.  This makes the reader think about both sides,,,1715048629321
355,,,,,", news reporters were not allowed into towns and cities where a user uses being fought. Every day social messaging sites like @CAPS1 and @CAPS2 brought news to the world through cell phone videos and pictures that wouldn't have been seen by the world had it not been for computers and the internet.","These are great, strong supporting details to your point. Nice!!!!",,,1715048670231
356,,,,," If you need a recepie for an @CAPS3 desert look it up with a computer. If you would like to know what the weather will be like, you can look it up with a computer. With a computer the knowledge of the world can be found by anyone",Nice repetition of the sentence structure here.  It provides a nice effect for readers. ,,,1715048714809
357,,,,,Their strong points are communication and the ability to gain knowledge quickly. The main downside is that a minority of computer user don't get enough exercise. It is my opinion that computers are good for and the pres definitily out,"You will need to work on this execution, BUT this is a SUPER attempt at including a counterclaim.  Nice job!",,,1715048786478
359,,,,,The issue to with is do you think ,"I'm not sure what you are savying here and wondering if you should just say ""the issue is""",,,1714264667180
360,,,,, be ,"I think you're looking for a different word here like ""the more they're going to be on the computer, the more lazy...",,,1714264714647
361,,,,,Doing that with their life.,This shouldn't be a seperate sentence,,,1714264774104
362,,,,," And, she",it seems like you didn't finish here...,,,1714264793573
363,,,,,"And, here are @CAPS2 reasons why, people are spending less time exercising, people not enjoying nature, and less time interacting with family and friends. ",these are three really good reasons why! ,,,1714264821261
364,158.0,8.0,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear newspaper, @CAPS1 some beleive computers do not benefil society, I do. Computers help buisnesses thrive, keep people people aware of what is going on in the world, and allow people to stay in touch with each other. Computers greatly benefit small and large buisnesses across the world. Imagine all the jobs at each buisnesses without a computer. Buisnesses would be unreliable because no instant contact would mean it might take a long time for products to be assembled and shipped. Any buisness owner would cringe at the idea of running of buisness without a computer. When surveyed, @NUM1 out of @NUM2 buisness owners and workers would prefer a computers assistance at work. Almost every modern day buisness relies on at least one computer. For example, companies that mass - produce their products often rely on computers to do jobs more precisely than a worker. Sometimes computer operated robots do dangerous jobs so workers are not at risk. Buisness also need computers to quickly recieve and send information to other buisnesses and people. Buisnesses are not the only need for computers. People use computers as much if not more, than buisnesses. People like you and me use computers to keep in touch with friend and people we know. Thanks to websites like @CAPS2 and e-mail people can easily stay in touch. Families use computers to plan get-togethers. Friends use computers to keep contact after grade school or if they do not live nearby. With computers, anyone that is anywhere can be in constant contact with anyone else. People also like to know news imediately. Without computers it would be alot harder to contact the rest of the world. Imagine a natural disaster accuring and not knowing about it right away. In that case we could not send aid to the area. With the recent earthquakes in @LOCATION1 and @LOCATION2. Knowledge about the rest of the world is even more important. Newspapers provide news and information but a day or two late and they often use computers to aquire that information. Eighty-seven percent of scientists agree that recieving information would be a lot harder.",I do. ,You do what? Do you agree or disagree?,2.0,yes,1713798923783
365,,,,,buisnesses ,spelling,,,1713798972726
366,,,,,Imagine all the jobs at each buisnesses without a computer. ,Good sentence -- helps the reader really think,,,1713799000710
367,,,,,Buisnesses ,spelling,,,1713799032814
368,,,,,mass - produce,mass-produce,,,1713799058775
370,,,,,This is a good way to use the computer because you can track your route you can even print a map and go hiking,Would you use a computer for this or a phone?,,,1714189099490
371,,,,,"Let's say that you have a family member that lives all the way out in @LOCATION1 and they have a computer and you want to talk to them but it costs you to talk, you can e-mail.",Good example!,,,1714189203016
372,,,,,You can learn about many different cultures. You can learn about different people and how they live their life and ther cultures,"This is a good reason, but can you give a more specific example of one time you learned about another culture from using the computer?",,,1714189246854
374,,,,, they don't spend time,"Since you already said ""they don't spend time"" once in the sentence, you don't need to say it again.",,,1713661707076
375,,,,,Those are very important things that people don't undeRstand that they are missing of.,Can you clarify why these are important things that people need to know more about?,,,1713661737313
376,,,,," First, people that spend a lot of time on the computer don't do exercise",This is a strong sub-claim to support your ideas. Make sure you have evidence to back up this claim.,,,1713661777130
377,,,,,"Next, people don't enjoy the beautiful nature that is outside. ","Again, this is a strong sub-claim, but you need more evidence such as specific examples to show how people who use the computer don't get outside to enjoy nature.",,,1713661811661
378,,,,, The air that we smell is not clean because they don't care about nature. ,"This is good, specific evidence, but I'm not sure how air pollution is related to people using the computer. Can you explain this more?",,,1713661847081
379,,,,,Is very important to spend time with your family.,Can you explain a bit more why it is important to spend time with your family?,,,1713661939969
380,,,,," is fun going to the beach with your kids, wife, father, and etc.","This is a good point, but is it also possible to spend time on the computer and spend time with family?",,,1713661960908
381,1777.0,8.0,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","Dear Newspaper, Computers have advance a lot since they were first made. Some people see computers as a way to rot your brain, while others see it has a learning device. Although computers have a negative effect when it comes to children, they have more of a positive effect because they give people the ability to learn about far away places and allow people to talk to each other online. To start off, computers are bad because they can be used as a way to babysit a child. When you're on the computer you're just sitting there staring at a screen with pictures and words on it. Some parents use the computer as a way to keep their kids quite, instead of taking the time to go outside. By growing up in an enviornment like that the children only know how to play on the computer. Kids have a lot of energy, and they need to do something productive, not play computer games and talk to their friends. All school day they talked to their friends, they need to be with family doing something to keep them fit and healthy. By using the computer as a babysitter, you as a parent are leading your child to obisity because all they do is games, and they aren't properly taking care of their body. On the other hand, computers give people the ability to learn about far away places and people. If your teacher gave you a last minute writing essay on @LOCATION2 that was do in a week, what would you do? You can't fly to @LOCATION2 and ask the @CAPS1 people what you want to know. That would be a waste of time and money. And if you go the library and they don't have any books, then you're in trouble. But by using the computer you can find endless information about @LOCATION2, and you could finish that essay in a day if you wanted to. Also, if you were going to @LOCATION4, but you knew nothing about @LOCATION4 you wouldn't be very confident about going. And you would feel like a tourist. But, if you went online and searched @LOCATION4, you could find the traditions, the clothing, and so much more. Lastly, if you wanted to know more about a famous person who isn't around anymore, you could go on the computer and find pictures and what they did, how they became famous, and so on. Finally, computers allow people to talk online with other people. Say your grandma lives in @LOCATION3, and you can't call to often because your phone bill will get to high, what do you do then? You talk online since you both have computers and it won't cost you to call. For example, my grandma and grandpa both live in @LOCATION1. When we call there it costs a lot because they're so far away. When they got a computer, we each bought a webcam and called them everyday on @ORGANIZATION1. Now, not only did we talk to them, but we also get to see them too. If your friend didn't have a phone and you really needed to ask them for the homework, you could go online or on aim or facebook and ask them. You know you can always get an answer because everyone is always on the computer at some point of the day. Although computers have a negative effect when it comes to children, they have more of a positive effect because they give people the ability to learn about far away people an places, and they allow you to talk online with other people.",". Some people see computers as a way to rot your brain, while others see it has a learning device. Although computers have a negative effect when it comes to children, they have more of a positive effect because they give people the ability to learn about far away places and allow people to talk to each other online.","Good, but I still don't really know which direction you're arguing",5.0,no,1713797987650
382,,,,,quite,quiet,,,1713798014498
383,,,,,"you as a parent are leading your child to obisity because all they do is games, and they aren't properly taking care of their body",Good - maybe less active lifestyle?,,,1713798034663
384,,,,," Lastly, if you wanted to know more about a famous person who isn't around anymore, you could go on the computer and find pictures and what they did, how they became famous, and so ","This is all really good, but you're not necessarily persuading me for one side or the other, because you're presenting both sides",,,1713798076925
385,,,,,"Although computers have a negative effect when it comes to children, they have more of a positive effect because they give people the ability to learn about far away people an places, and they allow you to talk online with other people.",Good - but I truly didn't know this was your argument until this point. Make sure your audience knows what you're arguing early on,,,1713798117371
387,,,,,effect ,affect,,,1713798325351
388,,,,,eiwible,cut this word,,,1713798368231
389,,,,," For example people past, and blog lies about people online.",Are there any famous examples of this?,,,1713798385213
390,,,,,The result of this could be very unpleasent.,Good - maybe dangerous instead of unpleasant?,,,1713798411678
391,,,,,fined ,Spell check!,,,1713122565399
392,,,,,m,Careful! ,,,1713122603436
393,,,,,For example people use computers to ,The way you started this made me think you would talk about the good in computers. Maybe change this up a bit!,,,1713122647903
394,,,,,our,"Who is ""our people*"" referring to?",,,1713122700352
395,,,,,In conclusion from my veiwible stand piont I dont prefer computers a magnificient way for people to spend there time on.,"A little confusing, think about rewording this!",,,1713122728294
397,,,,,didnt,Make sure to add an apostrophe to contractions. Didn't = did not,,,1712197362828
398,,,,,I was being patient. ,This does sound like you were being patient. Great example.,,,1712197420722
399,,,,,?,Not a question. Change to a period.,,,1712197443463
400,,,,,Tolerance twords children I dont like kids to much but where I wed to live there were tons of little kids that were the grand kids of my foster family and I sued those kids are annoying but I had to tolerate them.,"Try and divide this up into multiple sentences. Also, check for errors.",,,1712197466325
402,,,,,dart,don't? ,,,1712196018730
403,,,,,"she will explain @CAPS1 to me, never in rush. ",Can you provide a specific example of this? It would help make this piece more of a narrative (story).,,,1712196030448
404,,,,,"He would yell, and possiblely cursed at me in chinease. That happens nearly every time I don't understand something. ",Not relevant to this writing prompt. Focus on your mom's patience and a specific example of it.,,,1712196069285
405,,,,,Some people @MONTH1 be impatient because of triats or because that he or she has high blood pressure,Not relevant,,,1712196115737
406,,,,,my people ,"Is this a mistake? If not, clarify who ""my people"" are. ",,,1712196129236
408,,,,,"When your in line for rides ,you need to be patience .When your getting tickets or a bradet ,you need to patience ",Be sure to use a variety of sentence types and try to avoid setting your sentences up the same. ,,,1712881425871
409,,,,,"I, have people at me all time ,they didnt have patience .",You can strengthen your argument(s) by adding examples of the pros and cons of having patience.  ,,,1712881473651
410,,,,,You need to be slow and patience .That is why you need to be patient .,Here is one place that can benefit from a detailed example. ,,,1712881563435
411,,,,,At the fair you need to be patient .At school you need patience .At home you need patience .That is why patience is important .,"Remember to mix up your sentences types.  You don't want too many simple sentences.  Also, be sure to avoid using the same set up for each sentence.  Reusing your format too much makes your writing very predictable. ",,,1712881599566
413,,,,,"@CAPS4 I understand, in a dissaponting voice.",This place looks like a place to connect something about patience with this disappointment. ,,,1712430176167
414,,,,,. The boy grinned and said  Ill be right over there. @CAPS1 mowed the lawn with excitement.,,,,1712430282164
415,,,,,To be continued,Add something here about the lesson learned in needing patience,,,1712430345770
416,,,,,"@CAPS5, could I please get @NUM4 ???, so I can buy this game. ","When someone is speaking you should put "" "" around their line. Check this throughout the story",,,1712430403760
417,,,,,law,Spell check!,,,1713119140462
418,,,,,ou gatto ,Spell check!,,,1713119162861
419,,,,,It ,Make sure this is how you want to begin a new sentence!,,,1713119191917
420,,,,,patience,I like how you brought up the idea of patience again!,,,1713119213568
421,,,,,as next in the line. ,Is this the main example of patience?,,,1713119251287
423,,,,,my birthday was coming. ,Do you remember which birthday? You could add that in to provide more detail and this could also help explain why it was so hard to wait for your presents if you were young.,,,1712196363449
424,,,,,. But ,"See comment above about ""but""",,,1712196416296
425,,,,,wook ,Woke? Please proof read for minor mistakes like this. ,,,1712196433454
426,,,,,till ,Don't use abbreviations/slang in formal writing.,,,1712196457744
428,,,,," starting to become impatient, but I didnt",Explain more here. How were you starting to become impatient? Why did you not become impatient? ,,,1712431041291
429,,,,, and thats the time I was patient.,"you can delete this sentence, since you mention the ""by being patient in the beginning"" it is repetitive. ",,,1712431484873
431,,,,,For a test you can use patience by waiting for an answer to a question by waiting a little longer to get the answer instead of going fast and not getting @CAPS2 right.,"This sounds like ""waiting for an answer"" means waiting for someone to give it to you or cheating. Rephrase to make it clear that you're suggesting working throug the problem slowly, reading closely, or taking your time",,,1712431779533
432,,,,,paitents,"Paitience - you spell it right before this, but you want to make sure that you get this correct! ",,,1712431886956
433,,,,,Patience can be used in @CAPS1 in experiments  @CAPS2 could also be used in math to find an answer. When you are building a model you have to use patients,"You give a really detailed example right before this, but then you go back to these examples without details. Add more details so readers clearly understand what you are saying. ",,,1712431933148
434,,,,,means to me,this is the first time you mention you here...add more about yourself in the details you give to show why this is personal. ,,,1712432039505
435,,,,,paitents,Spell check!,,,1713119371084
436,,,,,patients,Spell check!,,,1713119405577
437,,,,,means to me ,"You provided many examples, but an explanation of patience isn't very clear here!",,,1713119442249
438,,,,,If you wait in patience on standing things could happen to you. ,Read this out loud to find out if it's what you want to write!,,,1713119489474
439,,,,,building a model,What kind of model?,,,1713119525466
441,,,,," Other people was ??? in ???  there ??? they still did not give me mine,",You can strengthen this part of the story by adding imagery and otherwise describing your environment. ,,,1715047622443
442,,,,,"e @CAPS1, @CAPS2, @PERSON1. My name is @CAPS3, I was born in @DATE1 , I was raised in the city of @LOCATION1 oit. ",Is this information relevant to the story? It doesn't seem to fit. ,,,1715047672369
443,,,,,Thats a story about a time when I was patient.,Avoid the redundant final line unless it serves a specific purpose. ,,,1715047727526
445,,,,,all day more. Than a hour,Careful! Is this supposed to be more than 1 sentence?,,,1713027944896
446,,,,,they,Who is they?,,,1713028025789
447,,,,, They play it so much and it can mess up the @CAPS1 and they can not focus in school.,This could be true! Are you talking about yourself or others?,,,1713028037106
448,,,,,like drug's,Why do you say this?,,,1713028089041
449,,,,,I have a brother that is offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you @CAPS1 do this it will mess up their life forever.,This is a big point! Maybe you should focus on this more to explain why being on the computer for more than an hour is bad!,,,1713028144584
450,,,,,ore. Tha,Combine these two sentences,,,1713802739878
451,,,,, computers ,computer,,,1713802762259
452,,,,,it makes the @CAPS1 just think about the computer and not think about school.,Why does it do this?,,,1713802780125
453,,,,,@CAPS1 to be addicted to drugs i hope you woudnt want your own @CAPS1 to be addicted to the computer.,Very persuasive ,,,1713802800123
454,,,,, offering in the hospital right computer too much and it messed and the doctor said he make it not so I am praying that he well make it out alive so I hope you woudnt let you,"I don't know exactly what you mean here, but I hope your brother is okay!",,,1713802976158
455,18442.0,7.0,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,I remember one day I was waiting in the waiting room in the doctors office with my mom because I wasnt feeling well. We sat there talking for about ten minutes when my mom said @CAPS1 its already been ten minutes I wonder when I will get to go and talk to my doctor. I said. I don.t know but lets wait a bit longer. Mom said. So as we waited and sat patiently more kids started coming in. I noticed some were young and some were older. I signed. What is taking so long? I wandered. Was my doctor even here today? I starred at the wall and looked at the color of it. Orange. Before I knew it half an hour passed. My mom was looking at her watch. @CAPS1 its almost @NUM1! @CAPS2! I said flustered and annoyed. Are we just gonna sit here all day? I asked. Finally my question was answered as a nurse said I could finally come back to a room and speak with my doctor about my sickness. @CAPS3 for being patient! the nurse said smilling. I smiled back. I @CAPS4 been patient.,I wonder when I will get to go and talk to my doctor. I said. I don.t know but lets wait a bit longer. Mom said.,I love that you added dialogue between you and your mom. ,3.0,yes,1715041204763
456,,,,, I wandered,Great work mixing up your sentence variety!,,,1715041238702
457,,,,,today? I starred at the wall and looked at the color of it. Orange. Before I knew it half an hour passed.,I love these descriptions. This makes the story seem so real. ,,,1715041242013
458,,,,,d smilling,The irony! Nice use of literary devices. ,,,1715041320631
459,18474.0,7.0,Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.,"A  time that i was patient was when i had to train my dog. sit boy, I command to my puppy. My dog instead of sitting runs at me jump and grabs the treat out of my hand. I go and try to grab the treat back from him and he gulps it down. While @CAPS1 walking  to grab his collar and take him for a walk he bolts away. After chasing him for hours he finally stops and looks at me waiting  to run again. @CAPS2 here Im done chasing you lets just go for a walk, please, I say as i slowly loose my patience. I begin to walk toward him again very slowly. I get close enough to grab his collar, but then the dog bolts again just leaving a bunch of dust behind. @CAPS1 done ! I scream and walk away with anger. I begin to leave and go up the hill to my house. I go to my room ready to sleep. The next morning @CAPS4 up and go outside to try and train dog.  I lost my patience yesterday and stormed off but today @CAPS1 ready to work hard and keep my patience. @CAPS6! I yell waiting  for my dog to @CAPS2 running and he does.With my first command i tell the dog to sit and he does not so I dont give him the treat. I say it again and he sits! Finally some progress after that waiting. I give him the treat and he starts waging his tail. To see if he understood i say it again. He sat again and got another treat. After that work with my dog I begin to  ask him to do more things,sometimes he doesnt listen and some times he does. That was a  time when I was patient with my dog to teach and train him and it definently paid off.", i had to train my dog.,Good luck training your dog! What does patience look like when training a dog?,14.0,,1712763292559
460,,,,,loose my patience,"When you lost your patience, what did this look like? How did react emotionally or physically?",,,1712763324877
461,,,,,I go to my room ready to sleep.,I would also go to sleep! Is sleeping and coming back to the situation practicing patience? ,,,1712763345306
462,,,,,s he doesnt listen and some times he does. ,Does patience turn into slow progress? How would you describe the learning process for your dog? Do we learn a little bit over time or all at once?,,,1712763381592
464,,,,,car ,add comma right after car -- for the transition of the action of climbing into the rental car to waving goodbye.,,,1712857779474
465,,,,,? ,question mark not needed,,,1712857836346
466,,,,,I mean out of all- Were here! ,This sentence is a bit confusing. Also add a ' to were -> we're,,,1712857862182
467,,,,,strafoam ,SP (Spelling),,,1712857886988
468,,,,,sorry according to this your @CAPS10 is full,"add quotes when you are quoting someone's speech or whatever they said. Be sure to have a comma before you close your quotes. In this example, your sentence should read ""sorry according to this your __ is full,"" ",,,1712857905694
469,,,,," @CAPS6 you called saying there was empty seats and invited us to exchange @CAPS2. @CAPS5 sorry @CAPS6 it wouldnt be fair if we gave away @CAPS2 that were rightful owned. @CAPS8 again another chessy smile @CAPS6 you can have your orginal @CAPS2 back if you like, @NUM2 @LOCATION2. @NUM2! What am I going to do for seven hours!","When writing a dialogue this long, you can chunk it into it's own paragraph to make the exchange more clear. If you decided to keep it written as is - be mindful of quotemarks to denote when someone is speaking and the usage of comma's whenever there's a change in your sentence to a different thought or person. ",,,1712858015318
470,,,,,Then ,Try a stronger transition word - check out these examples: https://writing.wisc.edu/handbook/transitions/,,,1712858074132
